tx timestamp,tx byte
0.321444,34
0.32146,231
1.026789,32
1.026804,248
2.035803,56
2.035818,161
3.048491,24
3.048506,140
4.0507,48
4.050716,140
5.055198,245
5.055214,255
6.061018,247
6.061034,40
7.063734,248
7.063749,251
8.071416,28
8.071431,124
9.077626,204
9.077641,76
10.084292,1
10.084308,107
11.086956,234
11.086972,163
12.091774,224
12.09179,245
13.09549,167
13.095505,204
14.102386,92
14.102401,217
15.110113,239
15.110129,174
16.117226,102
16.117241,193
17.122979,190
17.122995,121
18.127884,108
18.127899,167
19.134179,43
19.134194,77
20.135062,204
20.135077,8
21.141939,70
21.141955,223
22.144295,38
22.14431,24
23.146783,210
23.146798,210
24.160901,32
24.160917,81
25.164526,243
25.164542,125
26.179825,169
26.17984,112
27.194365,97
27.194381,53
28.20844,13
28.208455,203
29.209667,47
29.209682,104
30.21154,117
30.211556,114
31.217428,165
31.217443,203
32.221644,235
32.221659,193
33.225329,70
33.225345,180
34.229108,0
34.229124,167
35.242382,41
35.242397,164
36.24518,116
36.245195,127
37.259512,245
37.259527,146
38.269483,224
38.269498,149
39.286182,57
39.286197,4
40.297447,210
40.297463,65
41.303584,129
41.303599,240
42.304922,105
42.304937,228
43.309445,245
43.30946,148
44.320538,40
44.320554,35
45.330092,38
45.330107,58
46.338282,207
46.338297,215
47.350261,65
47.350276,85
48.363006,76
48.363021,62
49.371725,237
49.37174,55
50.380755,232
50.38077,50
51.389051,64
51.389066,244
52.397149,199
52.397164,121
53.39796,90
53.397976,17
54.401524,203
54.401539,149
55.402894,140
55.402909,187
56.415921,177
56.415937,73
57.420852,193
57.420867,100
58.430303,143
58.430318,97
59.4353,145
59.435316,135
60.442698,103
60.442714,13
61.445699,135
61.445715,151
62.449989,91
62.450004,239
63.461239,33
63.461254,39
64.473662,101
64.473678,120
65.481539,3
65.481554,186
66.487605,99
66.48762,41
67.496147,203
67.496163,111
68.499332,220
68.499348,135
69.511273,42
69.511288,30
70.518725,120
70.51874,67
71.524324,167
71.52434,135
72.524523,183
72.524539,191
73.530226,115
73.530241,184
74.53264,233
74.532655,58
75.535584,233
75.5356,142
76.550266,128
76.550281,211
77.565781,137
77.565796,139
78.576888,114
78.576903,20
79.591449,113
79.591465,154
80.592242,127
80.592257,246
81.596709,1
81.596724,8
82.595791,250
82.595807,209
83.603342,222
83.603358,173
84.617245,88
84.61726,102
85.624738,66
85.624754,11
86.627342,168
86.627358,110
87.629971,233
87.629986,34
88.632406,251
88.632421,67
89.64762,37
89.647636,72
90.653874,205
90.653889,222
91.6626,148
91.662616,160
92.664865,2
92.66488,37
93.669871,218
93.669887,136
94.673196,112
94.673211,89
95.68003,131
95.680045,35
96.686588,97
96.686603,19
97.696648,61
97.696664,10
98.707404,64
98.707419,47
99.714124,61
99.714139,210
100.728167,251
100.728182,12
101.74259,231
101.742606,77
102.755469,12
102.755484,125
103.76577,125
103.765786,139
104.768682,227
104.768697,230
105.783185,94
105.7832,8
106.796519,41
106.796535,199
107.810059,99
107.810074,53
108.814582,69
108.814597,103
109.828988,24
109.829003,57
110.833798,125
110.833814,241
111.840625,244
111.84064,166
112.84644,193
112.846455,15
113.855496,60
113.855512,141
114.859191,13
114.859207,210
115.863174,3
115.863189,103
116.863518,232
116.863533,43
117.866447,166
117.866462,66
118.866735,33
118.86675,165
119.882531,115
119.882547,96
120.882485,183
120.8825,75
121.884697,190
121.884713,159
122.894219,207
122.894234,175
123.908058,46
123.908073,98
124.916049,88
124.916065,160
125.915481,199
125.915496,171
126.917657,97
126.917673,237
127.935004,198
127.935019,77
128.939592,233
128.939608,111
129.944986,114
129.945001,193
130.946216,27
130.946231,130
131.956601,130
131.956616,222
132.967574,92
132.967589,203
133.974439,164
133.974455,139
134.984709,35
134.984724,207
135.99599,136
135.996005,242
137.011616,253
137.011632,240
138.012941,224
138.012956,4
139.017082,99
139.017097,159
140.017602,150
140.017618,122
141.019493,138
141.019508,77
142.019223,120
142.019238,230
143.020719,49
143.020734,216
144.028382,49
144.028397,112
145.02892,37
145.028935,43
146.03171,58
146.031725,204
147.036019,121
147.036035,79
148.035765,236
148.035781,165
149.039595,162
149.03961,47
150.054317,231
150.054332,186
151.055769,90
151.055785,112
152.059386,28
152.059402,181
153.07427,41
153.074285,104
154.07936,152
154.079376,115
155.093269,10
155.093284,154
156.102986,182
156.103001,42
157.114769,212
157.114784,30
158.126365,75
158.12638,167
159.135052,107
159.135067,108
160.14548,130
160.145496,28
